"gene","pval","effect","fdr"
"BAG6","2.40379661161455e-06","-0.0299533224720422",5.05870074780083e-05
"BAHD1","0.000460373406013318","-0.0311416604956867",0.00166417407735001
"BAIAP2","0.0939416450679644","0.0112971373976021",0.137657213620254
"BAIAP2L1","4.18212514192859e-05","-0.0747738987978402",0.000277027221714921
"BAIAP2L2","0.00949358706624326","-0.13804253496619",0.0195646899445217
"BAK1","0.00494421261493858","-0.0226068937698047",0.0113656500022261
"BANF1","3.55141308658057e-05","-0.0730802703408413",0.00024762071505745
"BANP","0.0566753834779762","-0.0189475056724052",0.0891717489010354
"BAP1","0.162697039840124","-0.00880442413396865",0.219815881996004
"BASP1","0.627147354699878","-0.00534340158056612",0.691159008753173
"BAX","5.01825481790004e-06","-0.0577984355277416",7.3998958180458e-05
"BAZ1A","0.0031400459515495","-0.0324349086182125",0.00776532937760396
"BAZ1B","0.042858883959858","0.00797678557951331",0.0700950882214399
"BAZ2A","0.0322691647647558","0.0191908852234802",0.0550793966100805
"BAZ2B","4.54193202621966e-05","0.0450839207675757",0.000294385679622616
"BBIP1","0.012872141143428","0.0267520817590965",0.0253810913186206
"BBS1","0.477931723610914","-0.00580539281341574",0.551874277403226
"BBS2","0.0330577788881748","-0.0174288964706091",0.0561451402123818
"BBS4","0.701285271871602","-0.00312801879953051",0.756192097164598
"BBS5","0.00194390315571799","-0.0516029146595035",0.00522714354029449
"BBS7","0.207671966223402","0.0140729095178127",0.271567813105323
"BBS9","3.76468712390111e-05","0.0408288376392107",0.000256926479121677
"BBX","0.14325954894313","-0.00612459747929384",0.197358166215985
"BCAM","0.682121590637175","-0.00497274176068674",0.739316609833085
"BCAP29","3.32570301485936e-05","0.0586229482597865",0.000236237070503419
"BCAP31","0.000400583051042992","0.0580814843767913",0.00150350631966836
"BCAR1","0.51428388521326","-0.00575060208290634",0.585872583709031
"BCAR3","0.821809400757104","0.00210136615729017",0.856098430395461
"BCAS1","0.845368703270285","-0.00479097461461375",0.875337460845598
"BCAS2","0.219124779196472","0.0160509847871383",0.284294435196106
"BCAS3","0.756295084835468","-0.00148341598104307",0.80243533683847
"BCAT1","0.945753576174434","-0.00151315341625435",0.956352900541236
"BCAT2","0.00369584106481657","-0.0226676373570792",0.00886321042728247
"BCCIP","0.0547196162295916","0.0172530458166514",0.0865128144865143
"BCHE","9.81615422837305e-06","0.335539049391752",0.000108062447335019
"BCKDHA","0.328260991432325","0.0107543309073587",0.401482004418572
