"gene","pval","effect","fdr"
"DSCC1","1.605054457187e-14","-0.0328622442723819",6.48913012932752e-14
"DSG2","1.50666488183384e-23","-0.0228861973867859",1.50806426098105e-22
"DSN1","2.15198445240461e-09","-0.00921432976265485",5.47967897187512e-09
"DSP","7.70015682593182e-12","-0.018084799565533",2.43825729855412e-11
"DSTN","0.216415601631739","0.00143662511689746",0.247583736757046
"DSTYK","0.000274128382138312","-0.00663625636240822",0.000439393683417532
"DTD1","1.38588721681527e-32","-0.0194552358669016",5.23024129023008e-31
"DTD2","5.90159480039107e-21","-0.0232671838312838",4.47533760508155e-20
"DTNA","0.221529804622853","-0.00293834993605996",0.252867785693427
"DTNB","3.22655159939952e-34","-0.0243829433017989",1.4160327584876e-32
"DTNBP1","0.000134919808328215","0.00397119300121251",0.00022372836740902
"DTWD1","0.00114973684487335","0.0053214352863073",0.0017264743239552
"DTWD2","0.125460184956124","0.00219953814949236",0.149195479878549
"DTX2","0.00324564200013347","-0.00554025261321439",0.00465160671673036
"DTX3","3.66015392904582e-06","-0.00936852941058192",7.00667847086771e-06
"DTX3L","1.64844367381133e-16","0.0081348181528208",8.10763447885197e-16
"DTX4","0.198994761459173","-0.00629947978484596",0.229822599594251
"DTYMK","5.27791561336804e-36","-0.0253579010139401",3.42050370675313e-34
"DUOX1","3.27552462126057e-24","0.038432166174952",3.53778544561317e-23
"DUOX2","0.0036191147959599","0.0166060227733599",0.00516051079182815
"DUS1L","2.49436322663151e-29","-0.0237172726592092",5.60019188312477e-28
"DUS2","1.63837857963062e-08","-0.00658169950899645",3.8767098911533e-08
"DUS3L","0.649201529727282","-0.000514188080044331",0.68198331191063
"DUSP11","0.507284612333025","-0.000778876955306207",0.544663558912574
"DUSP12","2.55494996905236e-18","-0.0108330247694925",1.48031420249933e-17
"DUSP16","0.000304869639328766","0.0221643249322039",0.00048633727497528
"DUSP22","5.28782286774373e-08","-0.00697932999437312",1.19354419348956e-07
"DUSP23","4.10814529318817e-20","-0.0195897516292541",2.85013599417969e-19
"DUSP3","0.301233075471272","0.000927623536172539",0.336674302719044
"DUSP6","2.34266146757438e-05","0.0118856811460646",4.18829005972422e-05
"DUT","0.212097385139592","-0.00127953968515659",0.243102403506134
"DVL1","5.19029325130502e-06","-0.00883185678203419",9.80152925319459e-06
"DVL2","0.00728900521495994","-0.00294549657122956",0.0100663621785414
"DVL3","3.12588352607732e-12","-0.00983081720938528",1.02425487565621e-11
"DXO","3.53225140092435e-14","-0.0225906275276358",1.39378789005554e-13
"DYDC2","1.44899146562474e-07","0.0446412457134949",3.1363017685995e-07
"DYM","1.0034864885896e-11","0.00644462832634979",3.14367424187033e-11
"DYNC1I1","0.803608703348438","0.000859819759404745",0.825569411479345
"DYNC1I2","3.38261841641459e-13","-0.00681990341427785",1.21601245444052e-12
"DYNC1LI2","0.0024991644889127","-0.00267608890490034",0.00362539580884898
"DYNC2H1","0.00918135675585788","0.0042794196992067",0.0125316604524438
"DYNC2LI1","1.42437899119932e-08","0.00783982553940865",3.38189763418414e-08
"DYNLL1","1.46760355704265e-11","-0.00969772258566604",4.54479147501809e-11
"DYNLL2","1.38392239487082e-23","-0.0148530822895429",1.38950965919794e-22
"DYNLRB1","0.00191962021120349","-0.00350105857530536",0.00282225199764479
"DYNLT1","1.31224227737924e-10","0.00942657323939644",3.74777321799212e-10
"DYNLT3","2.34041179815347e-05","-0.0065950038062616",4.18581118021215e-05
"DYRK1A","0.198012892301853","0.00113675956970755",0.228797598574657
"DYRK1B","0.711847771510776","0.000627471277749203",0.741192864829095
"DZANK1","0.150639343805467","-0.00571024609080084",0.17714003341043
"DZIP1","1.76541742857522e-08","0.0241706400014777",4.16106528305008e-08
"DZIP3","9.61493215382744e-05","0.0120347619604296",0.000162154802573417
"E2F3","7.24753621260643e-20","-0.0222524523327869",4.88151761986596e-19
"E2F4","4.32874263902665e-08","-0.00664951164741223",9.85319757238195e-08
"E4F1","0.00266620677843966","-0.00780730922419892",0.00385560452424128
"EAF1","0.0116726593108893","0.00549911462719388",0.0157634534469946
"EAPP","0.063575064355009","-0.00313500876556294",0.0785496240992653
"EARS2","1.29035117485831e-30","-0.0179855879720036",3.38246379593263e-29
"EBAG9","6.09288232804045e-07","0.00486167353721217",1.25360343020077e-06
"EBF1","1.47181467178719e-14","0.0262928624572721",5.97035989195481e-14
"EBNA1BP2","1.38791996915467e-05","-0.00604686449324965",2.52986953219905e-05
"ECE1","5.16147615092971e-16","-0.0119585046623802",2.42426911321391e-15
"ECH1","0.0206791649082611","-0.00300309721452641",0.0271293413289902
"ECHDC1","6.50378315761617e-25","-0.0146178937439186",7.56357228365938e-24
"ECHDC2","4.8109191266859e-16","-0.0171728165050622",2.2695089790723e-15
"ECHDC3","0.0252703656096354","0.00438538846894854",0.0328636733772933
"ECHS1","6.53541415303098e-06","-0.00552082528104331",1.22463257090895e-05
"ECI1","5.71985881067387e-31","-0.0208077014791275",1.58959629239902e-29
"ECI2","0.000422294631576903","0.00329834456765582",0.000663508121118481
"ECM1","4.89074139511893e-16","-0.0276999550670281",2.30268450443002e-15
"ECM2","3.18285955547882e-23","0.024168266039323",3.05045008187639e-22
"ECSCR","3.92533612978891e-10","0.0163090473420043",1.07063653326273e-09
"ECSIT","0.0757887708906445","-0.00266818147124154",0.0927071873966907
"ECT2","4.90218111729872e-26","-0.0359455992522435",6.69665558544793e-25
"EDARADD","5.29525352210255e-06","-0.0212218843394061",9.98612947907304e-06
"EDC3","9.41790435630853e-05","-0.00415898921596397",0.000158914847515373
"EDEM1","0.879998531792648","-0.000345048088841948",0.894571403401833
"EDEM2","4.95092147900971e-08","-0.0099536548732328",1.12062981154995e-07
"EDEM3","1.09346963053645e-14","-0.00900707334942458",4.48059228837052e-14
"EDF1","3.19676030266008e-19","0.0122003910623814",2.01595436771782e-18
"EDIL3","2.11675548691295e-06","0.0107557038616384",4.14170092143811e-06
"EDNRB","5.40480196576447e-23","0.0463347875240152",5.06484775516421e-22
"EDRF1","0.638747984201292","-0.00199961199482562",0.672735009096355
"EEA1","0.278653114320562","-0.00113673194949332",0.313061109208286
"EED","0.0144255031097135","0.00247824462722318",0.0192770673272405
"EEF1A1","2.38891671628548e-24","0.0183600104275886",2.62997766529544e-23
"EEF1A2","5.25173567994618e-35","-0.114903043867374",2.62559713194835e-33
"EEF1AKMT1","0.00446492400795873","0.00598104653729598",0.00630537244513566
"EEF1B2","8.64121647227195e-15","0.0129817962885573",3.57251315279478e-14
"EEF1E1","3.5803287033534e-07","-0.0069599392438508",7.5098633420901e-07
"EEF1G","0.00019985424880859","0.00572640601460472",0.000325341785698979
"EEF2","2.0457835472091e-21","0.0175108796507341",1.62506589880271e-20
"EEF2K","0.837708392706902","-0.000231409874980659",0.857241369578418
"EEPD1","0.0123049484902705","0.00504484560316237",0.0165734891552748
"EFCAB14","5.15692279586648e-05","0.00607105187044416",8.93799038547337e-05
"EFCAB6","0.0159579662323466","0.0143041097125679",0.0212109516907674
"EFCAB7","2.26946123949099e-08","-0.00910075543025657",5.30269924399497e-08
"EFCAB8","0.000178118270331928","0.0184272870000903",0.000291671298995335
"EFCC1","3.68278133048496e-10","0.0414493167989166",1.00816528716832e-09
"EFEMP1","4.03963125210023e-27","0.0275633289833243",6.41250139347302e-26
"EFEMP2","7.56774248532762e-09","0.00923089630846557",1.84097151655863e-08
"EFHB","2.05990559204821e-09","0.0544938618550088",5.25487226125081e-09
"EFHC1","5.4637195923245e-10","-0.0161577369888151",1.47119978695045e-09
"EFHC2","0.000103001767144823","-0.0179528223456221",0.00017325947615984
"EFHD1","0.00187902417213035","0.00917427466416615",0.00276420946690899
"EFHD2","1.24702777235624e-05","0.00659597536935219",2.2811999932258e-05
"EFNA1","0.941501200864605","0.000195085063575906",0.94915612125188
"EFNB1","0.00483455443266368","-0.00504751326114944",0.00680260313976571
"EFNB2","0.0282780721475444","-0.00395848801502707",0.0365351034712979
"EFR3A","7.59492563947387e-14","-0.00958528604140407",2.90584551389574e-13
"EFS","0.598363938243226","-0.00143886124294901",0.633943501253482
"EGFL6","7.72738098617306e-06","0.0183811692857722",1.43964402967523e-05
"EGFL7","1.79861561407214e-23","0.0663209003143612",1.78007886131487e-22
"EGFLAM","1.21601527380842e-08","-0.0213783683663061",2.90209944406197e-08
"EGFR","0.170064835956269","-0.00289323441467065",0.198490835612497
